photo	moral rating	attractiveness	befriend	hookup	date
F103C.jpg	0.9057142857	-1.056977752	0.4	-1.466666667	-1.133333333
F100C.jpg	-0.5057142857	-0.9321063787	-0.6	-1.2	-1.466666667
F080C.jpg	-0.6285714286	0.9494410596	-1.133333333	0.06666666667	-1.4
F053C.jpg	0.9228571429	1.087264362	1.266666667	1	1
F076C.jpg	0.9142857143	0.988460539	0.8666666667	0.2666666667	0.4
F107C.jpg	-0.5428571429	0.7486702952	-0.7333333333	-0.4	-1.333333333
F040C.jpg	-0.5342857143	0.7162595401	0.06666666667	0.2666666667	-0.2
F027C.jpg	-0.5057142857	-0.9071262385	-1.2	-1.666666667	-1.866666667
F065C.jpg	0.9342857143	1.123199639	1.4	1	1.4
F034C.jpg	-0.5714285714	0.9447501907	-0.8	-0.1333333333	-0.8666666667
F032C.jpg	0.9142857143	-1.124148774	1.2	-1.533333333	-1.266666667
F005C.jpg	0.9514285714	1.329243659	1.333333333	1.333333333	1.133333333
F086C.jpg	0.9057142857	-1.008507612	0.2666666667	-1.6	-1.466666667
F072C.jpg	-0.5057142857	-0.8748188801	-1.6	-1.933333333	-1.933333333
F090C.jpg	-0.5057142857	-0.8058906306	-1.8	-1.733333333	-1.933333333
F026C.jpg	0.9057142857	-1.009906893	0.6666666667	-1.2	-1
F051C.jpg	-0.5342857143	0.7260178679	-1.533333333	-0.2666666667	-1.466666667
F110C.jpg	0.8942857143	-0.9758113702	0.2	-1.466666667	-1.333333333
F011C.jpg	-0.5342857143	-0.9433230395	-1.4	-1.6	-1.666666667
F074C.jpg	0.9142857143	1.063078381	1.466666667	1.533333333	1.133333333
M030C.jpg	0.9142857143	0.7213004168	0.8421052632	-0.3684210526	-0.3684210526
M059C.jpg	0.9142857143	1.191261481	0.9473684211	-0.3157894737	-0.3157894737
M025C.jpg	0.9142857143	-1.285286893	0.7894736842	-1.894736842	-1.684210526
M038C.jpg	-0.5714285714	0.5872252985	-1.526315789	-1.578947368	-1.947368421
M091C.jpg	-0.5514285714	0.4817808265	-1.684210526	-1.578947368	-1.894736842
M052C.jpg	0.9514285714	1.868270872	1.210526316	0.5789473684	0.5789473684
M055C.jpg	0.9228571429	1.275983611	0.8947368421	-0.1052631579	-0.2105263158
M044C.jpg	0.9057142857	-0.9092481644	0.7368421053	-1.473684211	-1.526315789
M001C.jpg	0.9057142857	-0.9026142216	0.1052631579	-1.473684211	-1.473684211
M041C.jpg	-0.5342857143	-0.8858548538	-1.157894737	-1.894736842	-1.947368421
M083C.jpg	-0.5514285714	0.4962008076	-1.473684211	-1.315789474	-2
M036C.jpg	-0.5057142857	-0.7695866502	-1.894736842	-2	-2
M089C.jpg	0.9057142857	-1.102330205	0.2105263158	-1.526315789	-1.473684211
M065C.jpg	-0.6285714286	0.6315678326	-1.263157895	-0.4736842105	-1.368421053
M064C.jpg	-0.5342857143	-0.7957731421	-0.6315789474	-1.736842105	-1.789473684
M014C.jpg	0.8942857143	-0.8910921809	0.3157894737	-1.473684211	-1.421052632
M015C.jpg	-0.5142857143	-0.7922815866	-1.736842105	-1.947368421	-2
M068C.jpg	-0.5057142857	-0.7779663163	-0.6315789474	-1.315789474	-1.578947368
M004C.jpg	-0.5342857143	0.4562926157	-2	-1.842105263	-2
M084C.jpg	0.9342857143	1.402150452	1.210526316	0.3684210526	0.4210526316